Range_R,Tested_w,Discard_Percentage,Predicted_Time_Sec,Actual_Time_Sec,Is_Predicted_Optimal,Is_Actual_Optimal,Accurate?,
147326,10,2.56,0.002796,0.008174,1,0,FALSE,
147326,11,0.35,0.003167,0.007166,0,0,FALSE,
147326,12,0.01,0.003618,0.011051,0,0,FALSE,
147326,13,0,0.00411,0.008828,0,0,FALSE,
147326,14,0,0.004633,0.007031,0,1,FALSE,
181441,9,50,0.004646,0.008403,0,0,FALSE,
181441,10,5,0.002868,0.008193,1,0,FALSE,
181441,11,0.45,0.003171,0.00489,0,0,FALSE,
181441,12,0.04,0.003619,0.004409,0,1,FALSE,
181441,13,0,0.00411,0.008482,0,0,FALSE,
181441,14,0,0.004633,0.010676,0,0,FALSE,
362879,9,0,0.002323,0.005721,1,0,FALSE,
362879,10,0,0.002725,0.003888,0,0,FALSE,
362879,11,0,0.003156,0.007381,0,0,FALSE,
362879,12,0,0.003618,0.00358,0,1,FALSE,
362879,13,0,0.00411,0.00518,0,0,FALSE,
362879,14,0,0.004633,0.01028,0,0,FALSE,
701596,10,3.33,0.002818,0.007034,1,0,FALSE,
701596,11,1.57,0.003207,0.006328,0,1,FALSE,
701596,12,0.11,0.003622,0.007676,0,0,FALSE,
701596,13,0.01,0.004111,0.006918,0,0,FALSE,
701596,14,0,0.004633,0.010683,0,0,FALSE,
701596,15,0,0.005186,0.006954,0,0,FALSE,
788765,10,13.06,0.003134,0.00458,1,1,TRUE,
788765,11,1.2,0.003194,0.004759,0,0,FALSE,
788765,12,0.05,0.00362,0.004981,0,0,FALSE,
788765,13,0.01,0.004111,0.005483,0,0,FALSE,
788765,14,0,0.004633,0.006212,0,0,FALSE,
788765,15,0,0.005186,0.006847,0,0,FALSE,
830462,10,8.46,0.002976,0.005643,1,0,FALSE,
830462,11,0.14,0.00316,0.004693,0,0,FALSE,
830462,12,0.14,0.003623,0.003946,0,1,FALSE,
830462,13,0,0.00411,0.005339,0,0,FALSE,
830462,14,0,0.004633,0.006167,0,0,FALSE,
830462,15,0,0.005186,0.006694,0,0,FALSE,
838672,10,7.55,0.002947,0.009041,1,0,FALSE,
838672,11,1.25,0.003196,0.004461,0,0,FALSE,
838672,12,0.03,0.003619,0.008107,0,0,FALSE,
838672,13,0.01,0.004111,0.004244,0,1,FALSE,
838672,14,0,0.004633,0.005681,0,0,FALSE,
838672,15,0,0.005186,0.00587,0,0,FALSE,
893248,10,1.54,0.002767,0.005618,1,0,FALSE,
893248,11,1.54,0.003205,0.003485,0,1,FALSE,
893248,12,0.05,0.00362,0.006748,0,0,FALSE,
893248,13,0,0.00411,0.005952,0,0,FALSE,
893248,14,0,0.004633,0.007316,0,0,FALSE,
893248,15,0,0.005186,0.00773,0,0,FALSE,
907201,10,25,0.003633,0.006823,0,0,FALSE,
907201,11,2.27,0.00323,0.007094,1,0,FALSE,
907201,12,0.19,0.003625,0.007026,0,0,FALSE,
907201,13,0.01,0.004111,0.004319,0,1,FALSE,
907201,14,0,0.004633,0.0049,0,0,FALSE,
907201,15,0,0.005186,0.009049,0,0,FALSE,
1000000,10,17.33,0.003296,0.009328,0,0,FALSE,
1000000,11,2.3,0.00323,0.003615,1,1,TRUE,
1000000,12,0,0.003618,0.003877,0,0,FALSE,
1000000,13,0,0.00411,0.005507,0,0,FALSE,
1000000,14,0,0.004633,0.004479,0,0,FALSE,
1000000,15,0,0.005186,0.005268,0,0,FALSE,
1209601,10,33.33,0.004087,0.006785,0,0,FALSE,
1209601,11,3.03,0.003255,0.008592,1,0,FALSE,
1209601,12,0.25,0.003627,0.004108,0,1,FALSE,
1209601,13,0.02,0.004111,0.005408,0,0,FALSE,
1209601,14,0,0.004633,0.005672,0,0,FALSE,
1209601,15,0,0.005186,0.007993,0,0,FALSE,
1749499,10,3.58,0.002826,0.008469,1,0,FALSE,
1749499,11,3.58,0.003273,0.005379,0,0,FALSE,
1749499,12,0.29,0.003629,0.004877,0,1,FALSE,
1749499,13,0.01,0.004111,0.006568,0,0,FALSE,
1749499,14,0,0.004633,0.00651,0,0,FALSE,
1749499,15,0,0.005186,0.01113,0,0,FALSE,
1814401,10,50,0.005449,0.010839,0,0,FALSE,
1814401,11,4.55,0.003306,0.009575,1,0,FALSE,
1814401,12,0.38,0.003632,0.005293,0,0,FALSE,
1814401,13,0.03,0.004112,0.004689,0,1,FALSE,
1814401,14,0,0.004633,0.010491,0,0,FALSE,
1814401,15,0,0.005186,0.005309,0,0,FALSE,
2444119,10,32.65,0.004045,0.012722,0,0,FALSE,
2444119,11,2.03,0.003222,0.009164,1,0,FALSE,
2444119,12,0.5,0.003636,0.009882,0,0,FALSE,
2444119,13,0.03,0.004112,0.007739,0,0,FALSE,
2444119,14,0,0.004633,0.005302,0,1,FALSE,
2444119,15,0,0.005186,0.011528,0,0,FALSE,
